Title,Genre,Year,Runtime,Rating,desc,Votes,Director,Stars
Behind Locked Doors,"Crime, Drama, Film-Noir            ",1948,62 min,6.5,"A well-known judge has become a fugitive from the police, with a large reward on his head. A reporter believes that the judge is hiding in a private sanitarium, so she seeks out a private ...                See full summary »","1,283",Edgar G. Ulmer,Zachary Scott
Berlin Express,"Crime, Drama, Film-Noir            ",1948,87 min,6.8,A multinational group of train passengers become involved in a post-World War II Nazi assassination plot.,"5,142",Fritz Lang,Joan Bennett
The Big Clock,"Crime, Drama, Film-Noir            ",1948,95 min,7.6,"A magazine tycoon commits a murder and pins it on an innocent man, who then tries to solve the murder himself.",672,John Sturges,Susan Peters
The Big Punch,"Crime, Drama, Film-Noir            ",1948,80 min,6.1,A boxer turned minister offers shelter to a tank fighter framed for killing a policeman.,"1,890",Douglas Sirk,Claudette Colbert
Blonde Ice,"Crime, Drama, Film-Noir            ",1948,73 min,6,"A society reporter keeps herself in the headlines by marrying a series of wealthy men, all of whom die under mysterious circumstances.","7,876",Anatole Litvak,Olivia de Havilland
Blood on the Moon,"Romance, Western            ",1948,88 min,6.9,Unemployed cowhand Jim Garry is hired by his dishonest friend Tate Riling as muscle in a dispute between homesteaders and cattleman John Lufton.,"11,509",Anatole Litvak,Barbara Stanwyck
Bodyguard,"Crime, Drama, Film-Noir            ",1948,62 min,6.5,"After being fired for insubordination, homicide detective Mike Carter is hired as bodyguard by the owner of a local meat-packing plant where a meat inspector has been murdered.","1,314",Sidney Lanfield,Dick Powell
The Bonnie Parker Story,"Biography, Crime, Film-Noir            ",1958,79 min,5.8,"In the 1930s, amoral blonde tommy-gun girl Bonnie Parker cut a swath of bodies across the South-West. Starting out on gas stations and bars with side-kick Guy Darrow she graduated to bank ...                See full summary »","3,091",William Keighley,Mark Stevens
The Boy with Green Hair,"Comedy, Drama, Family            ",1948,82 min,6.7,This parable looks at public reaction when the hair of an American war orphan mysteriously turns green.,"3,665",Anthony Mann,Dennis O'Keefe
Call Northside 777,"Drama, Film-Noir            ",1948,112 min,7.3,Chicago reporter P.J. McNeal re-opens a decade-old murder case.,813,Robert Stevenson,Dick Powell
Canon City,"Action, Crime, Drama            ",1948,82 min,6.5,Twelve inmates plan a prison break from the Colorado State Penitentiary but one of them reluctantly joins the group.,"125,710",John Huston,Humphrey Bogart
Cry of the City,"Crime, Drama, Film-Noir            ",1948,95 min,7.2,"Police Lieut. Candella, longtime friend of the Rome family, walks a tightrope in the case of cop-killer Martin Rome.","1,192",Jack Gage,Rosalind Russell
The Dark Past,"Crime, Film-Noir, Thriller            ",1948,73 min,6.3,An escaped psychopathic killer who takes the family and neighbors of police psychologist hostage reveals a recurring nightmare to the doctor.,981,Gordon Douglas,Louis Hayward
The Flame,"Crime, Drama, Film-Noir            ",1947,97 min,6.5,A woman falls for the victim of an intended blackmail plot.,479,Lewis Seiler,Dane Clark
Force of Evil,"Crime, Drama, Film-Noir            ",1948,79 min,7.2,An unethical lawyer who wants to help his older brother becomes a partner with a client in the numbers racket.,533,Joseph M. Newman,Dennis O'Keefe
He Walked by Night,"Crime, Film-Noir, Thriller            ",1948,79 min,7.1,"This film-noir piece, told in semi-documentary style, follows police on the hunt for a resourceful criminal who shoots and kills a cop.","5,301",Fred Zinnemann,Van Heflin
Hollow Triumph,"Crime, Drama, Film-Noir            ",1948,83 min,6.7,"Pursued by the big-time gambler he robbed, John Muller assumes a new identity, with unfortunate results.","1,128",John Farrow,Ray Milland
The Hunted,"Crime, Drama, Film-Noir            ",1948,88 min,6.5,"Despite her pleas of innocence, an honest cop arrests his own girlfriend for her alleged part in a jewel robbery and he keeps hounding her after her release from prison, even though he still loves her.",148,Alfred Zeisler,Martha Vickers
"I, Jane Doe","Drama, War            ",1948,85 min,7.1,"While stationed in France during World War II, an American fighter pilot marries a French girl, but when he goes home he doesn't take her with him--because he's already married to a ...                See full summary »","15,333",Robert Rossen,Broderick Crawford
Inner Sanctum,"Film-Noir, Horror, Mystery            ",1948,62 min,6,A man fleeing the police after having committed a murder hides out in a boarding house in a small town.,"2,587",King Vidor,Bette Davis
The Iron Curtain,"Biography, Crime, History            ",1948,87 min,6.3,"The story of Soviet cypher-clerk Igor Gouzenko who was posted to the Soviet Embassy in Ottawa,Canada in 1943 and defected in 1945 to reveal the extent of Soviet espionage activities directed against Canada.","4,989",Don Siegel,Robert Mitchum
Key Largo,"Action, Crime, Drama            ",1948,100 min,7.7,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.","1,283",Gregory Ratoff,|
Kiss the Blood Off My Hands,"Crime, Drama, Film-Noir            ",1948,79 min,6.7,Fugitive Bill Saunders and lonely nurse Jane Wharton are crossed by fate when he hides out in her apartment.,"2,501",Anthony Mann,Ricardo Montalban
The Lady from Shanghai,"Crime, Drama, Film-Noir            ",1947,87 min,7.5,"Fascinated by gorgeous Mrs. Bannister, seaman Michael O'Hara joins a bizarre yachting cruise, and ends up mired in a complex murder plot.","2,040",Robert Z. Leonard,|
Larceny,"Crime, Drama, Film-Noir            ",1948,89 min,6.9,"A con man sets out to swindle a widow out of the money she's received to build a memorial to her war-hero husband, but winds up falling in love with her instead.","3,967",Max Ophüls,James Mason
Money Madness,"Film-Noir, Mystery            ",1948,73 min,5.9,"A murderous bank robber on the run from the law hides out in a small town, where he gets a job as a cab driver. He meets a young girl who is caring for her ill but wealthy aunt. He courts ...                See full summary »","4,419",Mark Robson,Kirk Douglas
Moonrise,"Crime, Drama, Film-Noir            ",1948,90 min,7.1,Danny is despised by his schoolmates because his father was accused of killing another man and sentenced to death.,345,Lewis Allen,Alan Ladd
Mystery in Mexico,"Crime, Mystery            ",1948,66 min,5.8,"Insurance detective Steve Hastings is sent by his company to investigate the disappearance of a fellow agent. His first lead is the agent's fetching sister, Victoria, whom he trails to ...                See full summary »",414,Maxwell Shane,Stephen McNally
The Naked City,"Crime, Drama, Film-Noir            ",1948,96 min,7.6,A step-by-step look at a murder investigation on the streets of New York.,296,Joseph Lerner,Dean Jagger
Night Has a Thousand Eyes,"Crime, Drama, Fantasy            ",1948,81 min,7.1,"After phony stage mentalist Triton mysteriously acquires supernatural powers of precognition, he becomes frightened and abandons his act to live in anonymity.","8,749",Robert Siodmak,Burt Lancaster
Open Secret,"Crime, Drama, Film-Noir            ",1948,68 min,6.4,"Newlyweds come to visit groom's friend, only to discover him missing; and their investigation uncovers evidence of a ring of anti-semites terrorizing the neighborhood.","1,215",Robert Florey,John Payne
Pitfall,"Crime, Film-Noir, Thriller            ",1948,86 min,7.1,Married insurance adjuster John Forbes falls for femme fatale Mona Stevens while her boyfriend is in jail and all suffer serious consequences as a result.,693,Ted Tetzlaff,George Raft
Portrait of Jennie,"Drama, Fantasy, Mystery            ",1948,86 min,7.6,"Eben is a talented but struggling artist in Depression era NY. One day, after he finally finds someone to buy a painting from him, a pretty but odd young girl named Jennie Appleton appears and strikes up an unusual friendship with Eben.","3,006",Michael Curtiz,Joan Crawford
Race Street,"Crime, Drama, Film-Noir            ",1948,79 min,6.5,"In San Francisco, when a bookie is murdered by a protection racket syndicate, his bookie friend Dan Gannin and police lieutenant Barney Runson investigate.",627,Richard L. Bare,Virginia Mayo
Raw Deal,"Crime, Drama, Film-Noir            ",1948,79 min,7.2,Joe Sullivan (Dennis O'Keefe) has taken the rap for Rick (Raymond Burr) who double-crosses him with a flawed escape plan and other means intended to get rid of him.,"1,641",Richard Fleischer,William Lundigan
The Return of the Whistler,"Film-Noir, Mystery            ",1948,60 min,6.3,"On the eve of his marriage, a young man's fiance disappears. He hires a private detective to help him track her down, but soon finds himself entangled in a web of lies, intrigue and murder ...                See full summary »",850,Rudolph Maté,Glenn Ford
Road House,"Action, Drama, Film-Noir            ",1948,95 min,7.2,A night club owner becomes infatuated with a torch singer and frames his best friend/manager for embezzlement when the chanteuse falls in love with him.,"2,297",Edward Dmytryk,Robert Newton
Ruthless,"Drama, Film-Noir, Romance            ",1948,104 min,6.8,"A poor boy who saved a rich girl from drowning is adopted by her family, but he grows into a money-hungry ruthless businessman who would step on others to get to the top of the social ladder.","3,765",Joseph L. Mankiewicz,Edward G. Robinson
Secret Beyond the Door...,"Drama, Film-Noir, Mystery            ",1947,99 min,6.7,"When a lovely woman and her new husband settle in an ancient mansion on the East coast, she discovers that he may want to kill her.",108,Frederick De Cordova,Howard Duff
The Sign of the Ram,"Drama, Film-Noir, Thriller            ",1948,84 min,6.3,"A jealous, manipulative stepmother confined to a wheelchair interferes with her stepchildren's romances so that they will not get married and leave home.","4,081",Arthur Lubin,Brian Donlevy
"Sleep, My Love","Drama, Film-Noir, Mystery            ",1948,97 min,6.8,Chronic sleepwalker Alison Courtland thinks that a mysterious man wearing horned-rimmed eye glasses is out to kill her but her husband blames her tired imagination.,890,Fletcher Markle,Franchot Tone
The Snake Pit,"Drama, Mystery            ",1948,108 min,7.6,A detailed chronicle of a woman during her stay in a mental institution.,618,William Castle,Howard Duff
So Evil My Love,"Crime, Drama            ",1948,112 min,6.9,"Olivia Harwood, missionary's widow, meets charming Mark Bellis, artist and rogue, on the ship taking them both back to 1890s London. After Olivia opens a lodging house, Mark becomes her ...                See full summary »",164,Elmer Clifton,Milburn Stone
"Sorry, Wrong Number","Drama, Film-Noir, Mystery            ",1948,89 min,7.3,"While on the telephone, an invalid woman overhears what she thinks is a murder plot and attempts to prevent it.","3,755",Nicholas Ray,Humphrey Bogart
Station West,Western            ,1948,97 min,6.6,"After two U.S. cavalrymen transporting a gold shipment get killed, U.S. Army Intelligence investigator John Haven goes undercover to a mining and logging town to find the killers.",905,Michael Gordon,Barbara Stanwyck
The Street with No Name,"Crime, Drama, Film-Noir            ",1948,91 min,7.1,"A covert FBI agent infiltrates a ruthless gangster mob, but his life is at risk from a mysterious informant who funnels inside information to the hoodlums.","1,516",S. Sylvan Simon,|
T-Men,"Crime, Film-Noir, Thriller            ",1947,92 min,6.9,Two US Treasury agents hunt a successful counterfeiting ring.,914,Burgess Meredith,Charles Laughton
To the Ends of the Earth,"Crime, Film-Noir, Thriller            ",1948,109 min,6.9,"After witnessing an incident on a foreign ship off California coast, a U.S. Treasury agent aboard a Coast Guard vessel decides to further investigate the matter by following a crime trail leading to China, Egypt, Lebanon and Cuba.",803,Lewis R. Foster,Dan Duryea
The Treasure of the Sierra Madre,"Adventure, Drama, Western            ",1948,126 min,8.2,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,485,Don Siegel,Ronald Reagan
The Velvet Touch,"Drama, Film-Noir, Thriller            ",1948,100 min,6.8,A Broadway star unintentionally kills her impresario but keeps mum about it after the police investigator targets a rival actress.,"11,533",Alfred Hitchcock,Gregory Peck
The Vicious Circle,Drama            ,1948,77 min,5.8,"In Hungary, a rich baron discovers that there are extensive oil deposits underneath nearby properties owned by villagers. He manages to convince all the property owners to sell to him, ...                See full summary »",392,Alfred Zeisler,Michael O'Shea
Walk a Crooked Mile,"Crime, Drama, Film-Noir            ",1948,91 min,6.3,"During the Cold War, at a California atomic research plant, an FBI agent and a Scotland Yard inspector join forces to eliminate a foreign atomic spy ring operating in the USA and the UK.",959,Laslo Benedek,Scott Brady
Whiplash,"Drama, Film-Noir, Sport            ",1948,91 min,6.4,A struggling artist becomes a New York City prizefighter in an attempt to win the affection of the ring promoter's night club singing sister.,"5,164",Max Ophüls,James Mason
The Woman in White,"Drama, Mystery, Romance            ",1948,109 min,6.6,"A young painter stumbles upon an assortment of odd characters at an English estate where he has been hired to give art lessons to beautiful Laura Fairlie. Among them are Anne Catherick, a ...                See full summary »","1,074",Roy Del Ruth,George Raft
Abandoned,"Drama, Film-Noir            ",1949,79 min,6.6,"Newspaperman helps girl find her sister's illegitimate baby, gets mixed up in baby-adoption racket.","1,924",Anthony Mann,Robert Cummings
Act of Violence,"Drama, Film-Noir, Thriller            ",1948,82 min,7.5,"An embittered, vengeful POW stalks his former commanding officer who betrayed his men's planned escape attempt from a Nazi prison camp.",679,Mark Robson,Robert Sterling
Alias Nick Beal,"Drama, Fantasy, Film-Noir            ",1949,93 min,7.1,A district attorney rises to political success and the governorship but loses his sense of morality once he starts associating with the shadowy and perhaps diabolical Nick Beal.,"1,290",Roy Rowland,Van Johnson
Alimony,"Crime, Drama, Music            ",1949,70 min,5.4,A promising young composer is tempted away from his devoted wife by a fortune-seeking woman who cares more for his prospects than for him.,"9,273",Robert Wise,Robert Ryan
All the King's Men,"Drama, Film-Noir            ",1949,110 min,7.4,"The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal.","1,774",Douglas Sirk,Cornel Wilde
Beyond the Forest,"Drama, Film-Noir, Romance            ",1949,97 min,6.9,"Resentful of her small-town life, a married woman schemes to run off with a rich businessman.",110,William C. Thomas,William Eythe
The Big Steal,"Crime, Film-Noir, Romance            ",1949,71 min,6.9,An army lieutenant accused of robbery pursues the real thief on a frantic chase through Mexico aided by the thief's fiancee.,189,Crane Wilbur,June Havoc
Black Magic,"Drama, Mystery, Romance            ",1949,105 min,6.4,Hypnotist uses his powers for revenge against King Louis XV's court.,533,Will Price,Martha Scott
Border Incident,"Crime, Drama, Film-Noir            ",1949,94 min,7,Mexican and American federal agents tackle a vicious gang exploiting illegal farm workers in southern California.,"17,498",Akira Kurosawa,Toshirô Mifune
The Bribe,"Crime, Drama, Film-Noir            ",1949,98 min,6.6,"Federal agent Rigby, in Central America to trace stolen plane engines, falls for the gorgeous wife of the chief suspect.",489,Chester Erskine,William Powell
Caught,"Drama, Film-Noir, Romance            ",1949,88 min,7,An ambitious young LA department store model gets her wish of marrying a millionaire but she eventually discovers that rich life isn't always a happy one.,"3,190",John Berry,Richard Basehart
Champion,"Drama, Film-Noir, Sport            ",1949,99 min,7.4,Boxer Midge Kelly rises to fame...mainly by stepping on other people.,"8,536",Nicholas Ray,Cathy O'Donnell
Chicago Deadline,"Crime, Drama, Film-Noir            ",1949,86 min,6.4,"On Chicago's South Side reporter Ed Adams finds the body of a dead girl. Her address book leads to a host of names of men frightened by her death but claiming never to have known her. Adams comes to know quite a lot, dangerously so.",309,William C. Thomas,Robert Lowery
City Across the River,"Crime, Drama, Film-Noir            ",1949,91 min,6.3,The macho head of an urban community center tries to reform juvenile delinquents.,"6,294",Jules Dassin,Richard Conte
The Clay Pigeon,"Drama, Film-Noir            ",1949,63 min,6.4,"Jim Fletcher, waking up from a coma, finds he is to be given a court martial for treason and charged with informing on fellow inmates in a Japanese prison camp during WWII. Escaping from ...                See full summary »","172,556",Carol Reed,Orson Welles
'C'-Man,"Crime, Drama, Film-Noir            ",1949,75 min,5.7,"A Treasury Department agent is murdered. His best friend, a fellow agent, investigates and stumbles into a scheme involving smuggling and murder.","1,018",Felix E. Feist,Michael O'Shea
Criss Cross,"Crime, Drama, Film-Noir            ",1949,84 min,7.4,An armored truck driver and his ex-wife conspire with a gang to have his own truck robbed on the route.,"4,968",Byron Haskin,Lizabeth Scott
The Crooked Way,"Crime, Drama, Film-Noir            ",1949,90 min,6.6,War hero recovers from amnesia & is confronted by his criminal past.,"1,434",Richard Fleischer,Lloyd Bridges
A Dangerous Profession,"Crime, Drama, Film-Noir            ",1949,79 min,6,"LA ex-cop Vince Kane is a bail-bondsman who bails out the suspect of a securities bonds robbery but his client disappears, prompting Vince to investigate.","1,225",Joseph H. Lewis,Glenn Ford
Flamingo Road,"Drama, Film-Noir, Romance            ",1949,94 min,7.1,A corrupt small town sheriff manipulates local candidates to the state legislature but he eventually comes into conflict with a visiting carnival dancer.,695,William Castle,Scott Brady
Flaxy Martin,"Crime, Drama, Film-Noir            ",1949,86 min,6.5,Mob attorney Walter Colby is manipulated by showgirl Flaxy Martin into taking the rap for a murder committed by mobster Hap Richie's goons but he escapes and tries to get revenge.,"1,244",John Huston,Jennifer Jones
Follow Me Quietly,"Crime, Drama, Film-Noir            ",1949,60 min,6.5,An obsessed cop tracks an elusive serial killer who strangles his victims on rainy nights.,"4,379",Otto Preminger,Gene Tierney
The Great Sinner,Drama            ,1949,110 min,6.6,"A young writer goes to Wiesbaden to write about gambling and gamblers, only to ultimately become a compulsive gambler himself. Losing all his wealth, as well as his moral fibre, he commits ...                See full summary »","33,422",Raoul Walsh,James Cagney
The Green Glove,"Crime, Drama, Mystery            ",1952,89 min,6.1,An ex-soldier and his new girlfriend comb France for a valuable relic...which others are willing to kill for.,"4,304",Ted Tetzlaff,Bobby Driscoll
Obsession,"Crime, Film-Noir, Thriller            ",1949,96 min,7.4,Clive Riordan plans a devilish revenge against his wife's lover.,376,Irving Pichel,Laraine Day
House of Strangers,"Crime, Drama, Film-Noir            ",1949,101 min,7.4,"After years in prison, Max promises revenge on his brothers for their betrayal. His lover Irene and memories of his past yield him a broader perspective.",981,Michael Gordon,Ida Lupino
Illegal Entry,"Action, Crime, Drama            ",1949,84 min,6.4,A former pilot goes undercover to help break up a smuggling ring.,"1,746",Nicholas Ray,Maureen O'Hara
Impact,"Crime, Drama, Film-Noir            ",1949,111 min,7,"A unfaithful wife plots with her lover to kill her husband, but the lover is accidentally killed instead. The husband stays in hiding and lets his wife be charged with conspiracy.","2,796",Richard Fleischer,Charles McGraw
Jigsaw,"Crime, Drama, Film-Noir            ",1949,72 min,5.6,New York Assistant District Attorney Howard Malloy investigates a series of murders and uncovers an extremist group.,"27,775",John Huston,Sterling Hayden
Johnny Stool Pigeon,"Crime, Drama, Film-Noir            ",1949,76 min,6.6,US Treasury agent George Morton persuades convicted criminal Johnny Evans to help him destroy a drug smuggling ring in exchange for early parole.,"1,423",Vincent Sherman,Viveca Lindfors
The Judge,"Crime, Drama, Film-Noir            ",1949,69 min,6,A crooked lawyer blackmails a client into a murder plot against his wife.,770,Gordon Douglas,Mark Stevens
Knock on Any Door,"Crime, Drama, Film-Noir            ",1949,100 min,6.7,"An attorney defends a hoodlum of murder, using the oppressiveness of the slums to appeal to the court.","2,493",Nicholas Ray,Mel Ferrer
The Lady Gambles,"Drama, Film-Noir            ",1949,99 min,6.6,A desperate husband tries to find help for his wife suffering from addictive gambling.,"3,615",Michael Curtiz,John Garfield
The Lucky Stiff,"Comedy, Crime            ",1949,99 min,6.2,"Semi-successful lawyer John Malone is intrigued by local night club singer Anna Marie St. Clair. After meeting her at the club, he is present when her boss (and more?) is killed, and she is...                See full summary »","4,071",John Cromwell,Eleanor Parker
Lust for Gold,"Romance, Western            ",1949,90 min,6.8,"Fortune seeker Barry Storm stumbles onto some clues that may lead him to the fabulous Lost Dutchman Mine, but others have tried and been murdered.",564,John Sturges,Lew Ayres
The Man on the Eiffel Tower,"Mystery, Thriller            ",1949,97 min,5.8,French police inspector Maigret investigates the murder of a rich Paris widow and ends up chasing the killer up the Eiffel Tower's girders.,591,John Cromwell,Lizabeth Scott
Manhandled,"Crime, Drama, Film-Noir            ",1949,97 min,6.6,The secretary to a psychiatrist finds herself caught up in the murder of a patient's wife and realizes that her life is also in danger.,"1,236",Henry Levin,Glenn Ford
Night Unto Night,"Drama, Romance            ",1949,84 min,5.8,"A scientist afflicted with the incurable illness epilepsy, meets a beautiful woman haunted by the voice of her dead husband.","1,720",Richard Brooks,Cary Grant
The Paradine Case,"Crime, Drama, Romance            ",1947,125 min,6.5,A happily married London barrister falls in love with the accused poisoner he is defending.,"12,147",Rudolph Maté,Edmond O'Brien
"Parole, Inc.","Crime, Film-Noir, Thriller            ",1948,71 min,5.7,Parole officers fight against gangsters trying to infiltrate the parole system.,"3,123",Vincent Sherman,Joan Crawford
Port of New York,"Crime, Drama, Film-Noir            ",1949,82 min,6,Two narcotics agents go after a gang of murderous drug dealers who use ships docking at the New York harbor to smuggle in their contraband.,"2,488",William Dieterle,Charlton Heston
The Reckless Moment,"Crime, Drama, Film-Noir            ",1949,82 min,7.1,"After discovering the dead body of her teenage daughter's lover, a housewife takes desperate measures to protect her family from scandal.",985,Edward L. Cahn,Joyce Mackenzie
Red Light,"Crime, Drama, Film-Noir            ",1949,83 min,6.3,"The former employee of a trucking company, currently in prison for embezzlement, plans his eventual revenge against his former boss.","1,676",Anthony Mann,Robert Taylor
The Red Menace,"Drama, Film-Noir, Thriller            ",1949,81 min,4.8,"An ex-GI becomes involved with the American Communist party, and falls in love with his instructor. The pair quickly realise their mistake, when they see how party leaders handle a member ...                See full summary »","1,198",Gerald Mayer,Marshall Thompson
Reign of Terror,"History, Romance, Thriller            ",1949,89 min,7,"Robespierrre, a powerful figure in the French revolution, is desperately looking for his black book, a death list of those marked for the guillotine.",811,Mark Robson,Dana Andrews
Roughshod,"Action, Adventure, Drama            ",1949,88 min,6.6,"Three escaped convicts, planning revenge, search for rancher Clay Phillips who, on the way to Sonora with a few horses, stops to help four saloon girls stranded by the roadside.","2,505",Robert Siodmak,Barbara Stanwyck
Scene of the Crime,"Crime, Drama, Film-Noir            ",1949,94 min,6.6,"While his wife is urging him to quit the force, a Los Angeles homicide detective hunts for the killer responsible for the murder of his ex-partner, who might have been on the take with local bookies.","3,459",Anthony Mann,Barbara Stanwyck
The Set-Up,"Crime, Film-Noir, Sport            ",1949,73 min,7.8,"Expecting the usual loss, a boxing manager takes bribes from a betting gangster without telling his fighter.",479,Ted Tetzlaff,Victor Mature
Shockproof,"Crime, Drama, Film-Noir            ",1949,79 min,6.5,"A Parole Officer falls in-love with his client, a ravishing blonde who served time for murder, and he's determined to help her go straight despite her interfering criminal boyfriend.",938,Joseph Lerner,Zachary Scott
Special Agent,"Crime, Drama, History            ",1949,71 min,5.7,"Johnny Douglas investigates a train robbery, committed by brothers Paul and Edmond Devereaux, in which Lucille Peters' father was killed.","13,608",Joseph H. Lewis,John Dall
The Story of Molly X,"Crime, Drama, Film-Noir            ",1949,82 min,6.6,"After gang leader Rick is killed, his wife Molly takes over his gang but a robbery goes wrong and Molly finds herself in jail where she undergoes a personal transformation.","11,522",Henry King,Gregory Peck
Strange Bargain,"Crime, Drama, Film-Noir            ",1949,68 min,6.7,"In order to cash-in a life insurance policy, a failing business owner asks one of his employees, who has financial woes of his own, to aid him in disguising his suicide into a robbery-murder.",401,Frank Tuttle,Dane Clark
Nora inu,"Crime, Drama, Film-Noir            ",1949,122 min,7.8,"During a sweltering summer, a rookie homicide detective tries to track down his stolen Colt pistol.",731,Andrew L. Stone,William P. Lane Jr.
Take One False Step,"Crime, Drama, Mystery            ",1949,94 min,6.4,"During a conference-trip to L.A., an academic runs into an old-flame and into trouble with the police when she disappears, presumed murdered.","3,649",Fritz Lang,Louis Hayward
Tension,"Crime, Drama, Film-Noir            ",1949,95 min,7.3,A meek pharmacist creates an alternate identity under which he plans to murder the bullying liquor salesman who has become his wife's lover.,718,George Archainbaud,Gig Young
They Live by Night,"Crime, Film-Noir, Romance            ",1948,95 min,7.4,"An escaped convict injured during a robbery falls in love with the woman who nurses him back to health, but their relationship seems doomed from the beginning.","1,166",Robert Stevenson,Robert Ryan
They Made Me a Killer,"Crime, Drama, Film-Noir            ",1946,64 min,5.9,A young girl tries to prove a man innocent of robbery and murder charges.,"32,178",Nicholas Ray,Humphrey Bogart
Thieves' Highway,"Drama, Film-Noir, Thriller            ",1949,94 min,7.5,A war veteran turned truck driver attempts to avenge the crippling and robbing of his father at the hands of an amoral produce scofflaw.,"1,635",Earl McEvoy,Evelyn Keyes
The Third Man,"Film-Noir, Mystery, Thriller            ",1949,104 min,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","2,171",Gordon Douglas,James Cagney
The Threat,"Crime, Drama, Film-Noir            ",1949,66 min,6.7,Vicious hood 'Red' Kluger escapes from Folsom State Prison and follows through on his threats to the detective who arrested him and the D.A. who convicted him.,863,Joseph H. Lewis,Hedy Lamarr
Too Late for Tears,"Crime, Drama, Film-Noir            ",1949,99 min,7.3,"Through a fluke circumstance, a ruthless woman stumbles across a suitcase filled with $60,000, and is determined to hold onto it even if it means murder.",671,Joseph Losey,Macdonald Carey
Trapped,"Crime, Drama, Film-Noir            ",1949,78 min,6.4,"Secret Service agents make a deal with a counterfeiting inmate to be released on early parole if he will help them recover some bogus moneymaking plates, but he plans to double cross them.","2,512",Felix E. Feist,Lee J. Cobb
The Undercover Man,"Crime, Drama, Film-Noir            ",1949,85 min,6.6,Treasury Department agent Frank Warren takes on the case of a mob leader who has evaded paying taxes on his ill-gotten gains.,"3,165",John Sturges,Ricardo Montalban
Undertow,"Crime, Drama, Film-Noir            ",1949,71 min,6.6,A paroled convict is framed for murder and must clear himself before the police catches him.,767,Russell Rouse,Broderick Crawford
We Were Strangers,"Adventure, Drama, Film-Noir            ",1949,106 min,6.6,"In 1930's Cuba, a bank clerk and an American mercenary assist a revolutionary group in a plan to kill the President but the Cuban Secret Police chief and the dictator's military complicate the plan's execution.","14,111",Jules Dassin,Richard Widmark
Whirlpool,"Crime, Drama, Film-Noir            ",1950,98 min,6.7,"A woman suffering from kleptomania is hypnotized in an attempt to cure her. Soon afterwards, she's found at the scene of a murder with no memory of how she got there, and seemingly no way to prove her innocence.","2,657",Mitchell Leisen,Barbara Stanwyck
White Heat,"Action, Crime, Drama            ",1949,114 min,8.1,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,"5,718",Joseph L. Mankiewicz,Richard Widmark
The Window,"Drama, Film-Noir, Thriller            ",1949,73 min,7.4,"To avoid the heat of a sweltering summer night a 9-year-old Manhattan boy decides to sleep on the fire escape and witnesses a murder, but no one will believe him.",505,Hugo Fregonese,James Mason
Without Honor,Drama            ,1949,69 min,6.1,"Jane Bandle has recently married, but Bill, her husband's brother, tries to wreck her marriage because Jane rejected his sexual advances before her marriage.","8,232",Elia Kazan,Richard Widmark
Woman in Hiding,"Crime, Drama, Film-Noir            ",1950,92 min,6.8,"After her father is killed in an accident, mill heiress Deborah Chandler marries the plant manager, Selden Clark, but his motives are suspicious.","2,457",Irving Pichel,Mickey Rooney
A Woman's Secret,"Drama, Film-Noir, Mystery            ",1949,84 min,6,"Failed singer Marian Washburn confesses she shot her friend, successful singer Susan Caldwell, but her manager Luke Jordan and Detective Fowler doubt her story and cannot establish a reasonable motive.",926,Mel Ferrer,Claudette Colbert
Armored Car Robbery,"Action, Adventure, Crime            ",1950,67 min,6.9,"A well-planned robbery goes awry, with tough cop Cordell in pursuit.","1,791",Joseph M. Newman,Edmond O'Brien
The Asphalt Jungle,"Crime, Drama, Film-Noir            ",1950,112 min,7.8,"A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.","1,274",Pat Jackson,Ann Sothern
Backfire,"Crime, Film-Noir, Mystery            ",1950,91 min,6.5,"While recuperating from wartime back injuries at a hospital, veteran Bob Corey is visited on Christmas Eve by a beautiful stranger with an even stranger message.",461,Joseph Pevney,Howard Duff
Between Midnight and Dawn,"Crime, Drama, Film-Noir            ",1950,89 min,6.6,Prowl car cops on night duty romance a reluctant young lady while in danger from a vengeful racketeer.,"3,101",Anthony Mann,Farley Granger
Black Hand,"Crime, Film-Noir, Thriller            ",1950,92 min,6.4,"Now grown-up, Johnny Columbo returns to New York from Italy having sworn a vendetta against the Black Hand who killed his father years earlier. Becoming romantically involved with a girl ...                See full summary »",648,George Sherman,Richard Conte
The Blonde Bandit,"Action, Crime, Drama            ",1949,60 min,6.6,"Newly arrived in a Western city, Kansan Gloria Dell waits at the train station to meet Larry Goodrich, the fiance' she has corresponded with, but never met. When he doesn't arrive, Mrs. ...                See full synopsis »","1,912",Stuart Heisler,Ginger Rogers
Born to Be Bad,"Drama, Film-Noir            ",1950,94 min,6.7,A woman's attempt to appear innocent and sweet clashes with her lover who sees through her act and the wealthy man she tries to trick into marrying her.,246,Paul Sloane,Sally Parr
