Title,Genre,Year,Runtime,Rating,desc,Votes,Director,Stars
Keeper of the Flame,"Drama, Mystery            ",1942,100 min,6.7,Journalist Steve O'Malley (Spencer Tracy) wants to write a biography of a national hero who died when his car ran off a bridge. Steve receives conflicting reports and tales that make him question what the truth about the hero is.,"1,954",Archie Mayo,|
Lady Gangster,"Crime, Drama, Film-Noir            ",1942,62 min,5.7,"Dot Burton (Faye Emerson) has acted as a decoy in a bank robbery and fails to get away. Her arrest attracts the attention of Ken Phillips (Frank Wilcox), a former childhood sweetheart who ...                See full summary »","7,771",Luchino Visconti,Clara Calamai
Moontide,"Crime, Drama, Film-Noir            ",1942,94 min,6.8,"In California, Bobo and his mooching 'pal' Tiny are doing odd jobs and getting drunk and they hide a secret about the unsolved murder of sailor Pop Kelly but suicidal waitress Anna, saved by Bobo, unravels the mystery.",545,Jack Hively,Burgess Meredith
Ossessione,"Crime, Drama, Romance            ",1943,140 min,7.6,"Gino, a drifter, begins an affair with inn-owner Giovanna, and they plan to get rid of her older husband.","9,627",Frank Tuttle,Alan Ladd
Street of Chance,"Crime, Drama, Film-Noir            ",1942,74 min,6.3,"After an accident, a New York man with amnesia finds out the ugly truth about his real identity and past by interacting with people who seem to know him well.",928,Julien Duvivier,Edward G. Robinson
This Gun for Hire,"Crime, Drama, Film-Noir            ",1942,81 min,7.4,"When assassin Philip Raven shoots a blackmailer and his beautiful female companion dead, he is paid off in marked bills by his treasonous employer who is working with foreign spies.","5,700",Fritz Lang,Brian Donlevy
A Tragedy at Midnight,"Comedy, Crime, Mystery            ",1942,68 min,6.2,This Republic murder mystery starts with a radio broadcast by Greg Sherman who solves cases on the air that the local police cannot solve. As he names the perpetrator of a recent murder we ...                See full summary »,"12,711",Jacques Tourneur,Frances Dee
Flesh and Fantasy,"Drama, Fantasy, Romance            ",1943,94 min,6.9,"An anthology of three loosely connected occult tales, with ironic and romantic twists.","5,503",Jacques Tourneur,Dennis O'Keefe
Hangmen Also Die!,"Drama, Film-Noir, Thriller            ",1943,134 min,7.4,"After the Nazi administrator of Czechoslovakia is shot, his assassin tries to elude the Gestapo and struggles with his impulse to give himself up as hostages are executed.","23,692",William A. Wellman,Henry Fonda
I Walked with a Zombie,"Drama, Fantasy, Horror            ",1943,69 min,7,"A nurse is hired to care for the wife of a sugar plantation owner, who has been acting strangely, on a Caribbean island.","6,991",Mark Robson,Kim Hunter
The Leopard Man,"Film-Noir, Horror, Thriller            ",1943,66 min,6.8,"A seemingly tame leopard used for a publicity stunt escapes and kills a young girl, spreading panic throughout a sleepy New Mexico town.","66,307",Alfred Hitchcock,Teresa Wright
The Ox-Bow Incident,"Drama, Western            ",1942,75 min,8,"When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men.","1,981",Edgar G. Ulmer,John Carradine
The Seventh Victim,"Drama, Horror, Mystery            ",1943,71 min,6.7,A woman in search of her missing sister uncovers a Satanic cult in New York's Greenwich Village and finds that they could have something to do with her sibling's random disappearance.,"1,459",Robert Siodmak,Deanna Durbin
Shadow of a Doubt,"Film-Noir, Thriller            ",1943,108 min,7.8,"A teenage girl, overjoyed when her favorite uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.","6,653",Gunther von Fritsch,|
Whispering Footsteps,"Crime, Drama, Film-Noir            ",1943,54 min,5.8,"A bank clerk in a small town returns home from a vacation in Indianapolis, and hears a story on the radio about a girl found murdered there. The description of the killer fits him exactly, ...                See full summary »","1,011",André De Toth,Merle Oberon
Bluebeard,"Crime, Horror, Thriller            ",1944,72 min,5.9,"In Paris, an artist hires portrait models, and after he finishes their portraits, he strangles them.","158,203",Billy Wilder,Fred MacMurray
Christmas Holiday,"Crime, Drama, Film-Noir            ",1944,93 min,6.5,A young femme fatale-type woman realizes that the man she married is an incorrigible wastrel.,"1,794",Jacques Tourneur,Hedy Lamarr
The Curse of the Cat People,"Drama, Horror, Mystery            ",1944,70 min,6.7,"The young, friendless daughter of Oliver and Alice Reed befriends her father's dead first wife and an aging, reclusive actress.","30,005",George Cukor,Charles Boyer
Dark Waters,"Drama, Film-Noir, Mystery            ",1944,90 min,6.5,"A woman returns to the USA after a German U-boat sank her ship, and finds out that someone wants to kill her for her inheritance.",909,John Brahm,André De Toth
Destiny,"Crime, Drama, Fantasy            ",1944,65 min,6.1,"Bank robbers Cliff Banks and Sam Baker go their separate ways while being chased by the law. Now fleeing alone, Cliff begins to reflect, via flashback, the various events and unsavory ...                See full summary »","48,019",Otto Preminger,Gene Tierney
Double Indemnity,"Crime, Drama, Film-Noir            ",1944,107 min,8.3,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.","3,655",John Brahm,Laird Cregar
Experiment Perilous,"Film-Noir, Romance, Thriller            ",1944,91 min,6.4,"In 1903, a doctor suspects murder in the gothic Bederaux family.","3,661",Jean Negulesco,Peter Lorre
Gaslight,"Crime, Drama, Mystery            ",1944,114 min,7.8,"Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife insane.","8,191",Fritz Lang,Ray Milland
Guest in the House,"Drama, Film-Noir, Music            ",1944,121 min,6.2,A young manipulative woman moves in with her fiancé's family and turns a happy household against itself.,249,Budd Boetticher,Jim Bannon
Lady in the Death House,"Crime, Drama, Film-Noir            ",1944,56 min,5.3,"A young woman is on Death Row for the murder of a man who was blackmailing her family, although she claims she was framed. Her fiance', a doctor who is conducting experiments on reviving ...                See full summary »","13,815",Edward Dmytryk,Dick Powell
Laura,"Drama, Film-Noir, Mystery            ",1944,88 min,7.9,A police detective falls in love with the woman whose murder he is investigating.,"5,136",Robert Siodmak,Franchot Tone
The Lodger,"Crime, Horror, Mystery            ",1944,84 min,7.1,A landlady suspects that her new lodger is Jack the Ripper.,"2,461",Robert Siodmak,Charles Laughton
The Mark of the Whistler,"Adventure, Crime, Drama            ",1944,60 min,6.6,A drifter claims the money in an old bank account by impersonating someone else with the same name. Soon he finds himself the target of a man who turns out to be the son of the old partner ...                See full summary »,"35,348",Howard Hawks,Humphrey Bogart
The Mask of Dimitrios,"Crime, Drama, Film-Noir            ",1944,95 min,7.2,Mystery writer Cornelius Leyden becomes intrigued when the murdered body of a vicious career criminal washes up in the Bosphorus.,252,Arthur Ripley,Francis Lederer
Ministry of Fear,"Crime, Drama, Film-Noir            ",1944,86 min,7.1,Stephen Neale has just been released from an asylum during World War II in England when he accidentally stumbles onto a deadly Nazi spy plot and tries to stop it.,"1,104",William Castle,Robert Mitchum
The Missing Juror,"Film-Noir, Mystery            ",1944,66 min,6.2,"In a major murder case, jurors are threatened and attacked. One of them disappears, and the detective Joe Keats looking for the guilty.","1,024",William Castle,Richard Dix
"Murder, My Sweet","Crime, Drama, Film-Noir            ",1944,95 min,7.5,"After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit.","16,402",Fritz Lang,Edward G. Robinson
Phantom Lady,"Crime, Drama, Film-Noir            ",1944,87 min,7.2,A devoted secretary risks her life to try to find the elusive woman who may prove her boss didn't murder his selfish wife.,360,Sam Newfield,Hugh Beaumont
The Suspect,"Drama, Film-Noir, Thriller            ",1944,85 min,7.4,"An unhappily married man begins a flirtation with a younger woman. When his wife threatens to ruin her, he decides to take action.",589,Arch Oboler,Phyllis Thaxter
To Have and Have Not,"Adventure, Comedy, Film-Noir            ",1944,100 min,7.8,"During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.","9,465",Robert Wise,Boris Karloff
The Unwritten Code,"Drama, Romance, War            ",1944,61 min,6.2,"When an Allied prisoner of war ship transporting a cargo of German prisoners is torpedoed by a German submarine in the North Atlantic, three survivors cling for their lives to a raft. The ...                See full synopsis »",152,John Francis Larkin,Michael O'Shea
Voice in the Wind,"Crime, Drama, Film-Noir            ",1944,85 min,5.4,"A concert pianist has lost his memory, the result of his being arrested and tortured by the Nazis during the war for playing a banned song. He journeys to the island of Guadelupe to try to regain his memory and his health.","1,215",Herman Shumlin,Charles Boyer
When Strangers Marry,"Crime, Drama, Film-Noir            ",1944,67 min,6.5,"A naive small-town girl comes to New York City to meet her husband, and discovers that he may be a murderer.","4,129",Curtis Bernhardt,Humphrey Bogart
The Whistler,"Film-Noir, Mystery            ",1944,59 min,6.3,"A depressed man hires an assassin to kill him when he least expects it, but when his life takes an upward turn, he finds he now wishes to live.","2,358",Edward Dmytryk,Dick Powell
The Woman in the Window,"Crime, Drama, Film-Noir            ",1944,107 min,7.6,"A conservative middle aged professor engages in a relationship with a femme fatale, he's plunged into a nightmarish world of blackmail and murder.",992,Robert Florey,Faye Emerson
Apology for Murder,"Crime, Drama, Film-Noir            ",1945,67 min,5.7,"When a reporter helps his girlfriend murder her rich husband, an innocent man gets the blame and faces execution.","17,947",Edgar G. Ulmer,Tom Neal
